status;HolderAddress;Balance V1;Post LP drain movements;V2 Migration Qty;comment;;0x7b1ab81f951b9fb609de4c162e0dedecdd6cc54f; 13 846,00   ;#N/A
token not transferred;0x29954dbb276c8c6885562890ccfa9061d7b5e963; 172 150 477,64 ;-172 150 477,64 ; -   ;post LP drain after /10 of the price;;0xcb3ca2c9d9d8196a5ed86103e050c7bcce85c05b; 27 000,00   ;0xcb3ca2c9d9d8196a5ed86103e050c7bcce85c05b
transfer to 249F;0x89a3c9cf13e3b829e4f3a41b889d2056bdd9985e; 33 114 656,53 ;; 33 114 656,53 ;ok;;0xb71196f304949555ea5d9a0fd02f8998b22e1e80; 31 753,51   ;0xb71196f304949555ea5d9a0fd02f8998b22e1e80
token not transferred;0x9a86a5bbc1cf83bcc6220d84cfe0e8b3f8b85ab7; 24 656 823,54 ;-24 179 523,00 ; 477 300,54 ;post LP drain after /10 of the price;;0xc17ac436fcb81814e947399fe3d28c62d21c0e3b; 34 400,00   ;#N/A
transfer to 249F;0x0e670bbffc7ead71e4eb05dfe77016729b6b7c0e; 21 276 738,41 ;; 21 276 738,41 ;ok;;0x4c6cb18b574c5aed531eb5cafdcd47655f5d2263; 37 019,44   ;#N/A
transfer to 249F;0x1b4698e7a35849c5d6d0adb070b020d72e949c2c; 21 258 334,38 ;; 21 258 334,38 ;ok;;0x48495ef5ed856608cdce036beb62e15273b373ef; 48 000,00   ;0x48495ef5ed856608cdce036beb62e15273b373ef
transfer to 249F;0x646eb6a26d61d62edbe16f1015589b4cacf7227c; 20 367 673,95 ;; 20 367 673,95 ;ok;;0x43ac349469823a7dec52bffee9ef8fbc75f0f9a7; 48 000,00   ;#N/A
transfer to 249F;0x6d8744d80105c43257214daf03e15625b634958d; 20 177 549,49 ;; 20 177 549,49 ;ok;;0xbb11b56bcf14c3f02fc9b16819b7141da0752c3c; 50 000,00   ;0xbb11b56bcf14c3f02fc9b16819b7141da0752c3c
transfer to 249F;0x9b9db297b8b84afb9fcc0a5c5ce648925c5ef70b; 13 378 994,91 ;; 13 378 994,91 ;ok;;0x373d45ce97bec870c4ccb9db8ba5c630759696a4; 56 346,00   ;0x373d45ce97bec870c4ccb9db8ba5c630759696a4
token not transferred;0xb7b3afcaf398cee773ccf27171a7e37fbfd723a0; 10 925 576,13 ;; 10 925 576,13 ;ok;;0xf8e7f4f45f4434342817dd294d35650a83132232; 56 620,00   ;#N/A
transfer to 249F;0x906c675c3cda9ee5ca76bf690cbde32d2308c9cc; 10 064 052,57 ;; 10 064 052,57 ;ok;;0x19d34b530f7553871a24f82a1d9e2dc1349eda71; 66 294,83   ;0x19d34b530f7553871a24f82a1d9e2dc1349eda71
transfer to 249F;0x57e84574cf407e71eaeb23b642055257945a89ff; 9 871 854,86 ;; 9 871 854,86 ;ok;;0x68f2fa4cf7fb57f1fdbd8a6c84c66364e45058e3; 75 000,00   ;0x68f2fa4cf7fb57f1fdbd8a6c84c66364e45058e3
token not transferred;0x2e7d02d49ed5d1f870d7fca36bdb0a09f625ce63; 9 776 717,94 ;-6 265 667,00 ; 3 511 050,94 ;post LP drain after /10 of the price;;0x060692571ecd3fed3980a92a950d68f5d59d1097; 101 302,00   ;#N/A
transfer to 249F;0xfb6bd2fe2a8bee9518fc3510f15188320fcdbafc; 8 842 864,00 ;-8 842 864,00 ; -   ;post LP drain after /10 of the price;;0x1583072a3ec9369c7827f987d06ee27fcaac9b76; 103 000,00   ;0x1583072a3ec9369c7827f987d06ee27fcaac9b76
transfer to 249F;0xc3303ad7e3295d09c5c4cba5db610487d37e3482; 8 690 415,11 ;; 8 690 415,11 ;ok;;0x8af5780d8302d9ed06f43e392df09024dc97ec17; 130 244,00   ;0x8af5780d8302d9ed06f43e392df09024dc97ec17
transfer to 249F;0xbb3856540b7db3541dc7ae9711ce58d961b4b033; 8 416 943,91 ;; 8 416 943,91 ;ok;;0x0b7ec11ed905fac94699606e49e688d427370792; 147 920,00   ;#N/A
transfer to 249F;0x719835d6bd68fe2ca75be83b1bbeff15bcc0755a; 7 540 511,05 ;-7 540 511,05 ; -   ;post LP drain after /10 of the price;;0x9e8350efe4a524f39f56f47a4c5e5a6895d79571; 202 203,78   ;#N/A
transfer to 249F;0xdb41565729cc81f74f74fc73e12667595876a0b1; 7 356 827,58 ;; 7 356 827,58 ;ok;;0x92d1682f6bfec510f3d4c9ba30288c9e9b9a4a3f; 233 841,00   ;#N/A
transfer to 249F;0xf664299889376125e872d6d81aa94457147996ab; 7 198 869,65 ;; 7 198 869,65 ;ok;;0xbb0d7acabf6362480eba43a365dd71fae7c211f4; 240 000,00   ;0xbb0d7acabf6362480eba43a365dd71fae7c211f4
transfer to 249F;0x2351d6051ed07c07710bae60413784cb2354fbd3; 7 153 026,91 ;; 7 153 026,91 ;ok;;0x16bd947b06ad21f3876ff3b0000fec816a6c3217; 279 062,00   ;#N/A
transfer to 249F;0x5e4454277ff3b0d271687d3104c775ef63517744; 11 009 779,09 ;-3 870 000,00 ; 7 139 779,09 ;post LP drain after /10 of the price;;0x3eedaf68011fa171b516e482e7fcfbb92dbb6718; 300 000,00   ;0x3eedaf68011fa171b516e482e7fcfbb92dbb6718
token not transferred;0xc62c58f5bdd0b294b51abf7dadb72a1c6c58cf6e; 7 106 046,53 ;; 7 106 046,53 ;ok;;0xf8e70a646efdf05b534fff83f040da0d2bae9361; 300 000,00   ;0xf8e70a646efdf05b534fff83f040da0d2bae9361
token not transferred;0x3a0065cbf4cd7951f0920f59c9d77dd25da0be39; 6 658 556,49 ;; 6 658 556,49 ;ok;;0x97470408954827618770bfd188b7dca9774cab85; 304 919,88   ;#N/A
token not transferred;0x4ff255c77da359972cc50c6f06f7971f4d9f672a; 6 197 999,47 ;; 6 197 999,47 ;ok;;0xc89db771b9c9017f2e2d937d27e64f27828e2251; 400 000,00   ;0xc89db771b9c9017f2e2d937d27e64f27828e2251
transfer to 249F;0x7a32d83e64683c47a0b6f6d7f11e26d35e85efdf; 6 039 493,63 ;-6 039 493,63 ; -   ;post LP drain after /10 of the price 40$ spent;;0x22671a0a106e766f3b179d8a3b870d2712e1ec82; 430 000,00   ;#N/A
transfer to 249F;0x93344678f93fe4338a215bae9c0cc0bd42889716; 6 031 310,62 ;; 6 031 310,62 ;ok;;0x5eeff863acaab2b8cf604968cab6b62330ff0d06; 510 623,00   ;0x5eeff863acaab2b8cf604968cab6b62330ff0d06
transfer to 249F;0x3717589ecda13dcbc872880153eaa8b065087a87; 5 927 040,69 ;; 5 927 040,69 ;ok;;;;
transfer to 249F;0x6603bc2e829b7a6c5ce251f664c14901de4c570d; 5 871 232,70 ;; 5 871 232,70 ;ok;;;;
transfer to 249F;0x719835d6bd68fe2ca75be83b1bbeff15bcc0755a; 5 676 000,00 ;-5 676 000,00 ; -   ;post LP drain after /10 of the price;;;;
transfer to 249F;0x5ee2a9df153823738b994e35036994173c86f27a; 5 522 040,40 ;; 5 522 040,40 ;ok;;;;
token not transferred;0xf60d266cd4d17217f7b9c010ee63660f445b9dfc; 5 480 192,62 ;; 5 480 192,62 ;ok;;;;
token not transferred;0x28e746a6e3f00fdb0ce7bde6f368fcf1761dfa55; 5 081 241,37 ;; 5 081 241,37 ;ok;;;;
token not transferred;0x20ca4a57f1b4795b4c603db63cec2705d0e808fa; 4 898 589,24 ;; 4 898 589,24 ;ok;;;;
